ID_val,Problem,Checkbox,Check_Area,Complaint_Type,Area,SubArea,area_subarea,source_name
13897,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - other,Cell Phone Connection,other,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
3585,Navigation System-Other/Unspecified,Navigation System - other,Navigation System,other,Navigation,Other,Navigation / Other,source_2
12426,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Won't/Slow Connect,Bluetooth / Won't/Slow Connect,source_2
4839,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - Difficult to use,12 Volt Power Outlets,Difficult to use,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
6816,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
9551,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
3224,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
19914,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Slow,Apple Car Play / Slow,source_2
6004,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,Apple Car Play,Not Functioning,Apple Car Play / Not Functioning,source_2
2174,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
2640,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - Sound quality for person on other end,Cell Phone Connection,Sound quality for person on other end,Bluetooth,Call Quality,Bluetooth / Call Quality,source_2
10843,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
10839,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,Customer Expectation,Radio / Customer Expectation,source_2
4520,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
2265,Cigarette Lighter/Power Plug Broken/NW,12 Volt Power Outlets - Broken/NW,12 Volt Power Outlets,Broken/NW,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
13686,Infotainment System-Poor Screen Quality,Radio Fnctn and Recptn - Display screen image poor quality,Radio Fnctn and Recptn,Display screen image poor quality,Radio,Favorites,Radio / Favorites,source_2
6642,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
5973,Radio Poor/No Reception,Radio Fnctn and Recptn - Does not work,Radio Fnctn and Recptn,Does not work,Radio,Not Functioning,Radio / Not Functioning,source_2
8917,Hands-Free Communication-Doesn't Recognize Command,Navigation System - Voice recognition/communication trouble,Navigation System,Voice recognition/communication trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
2057,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
868,Navigation System-Inaccurate,Navigation System - Inaccurate map information,Navigation System,Inaccurate map information,Navigation,Out Dated,Navigation / Out Dated,source_2
9390,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - Difficult to use,12 Volt Power Outlets,Difficult to use,Power Outlet,Other,Power Outlet / Other,source_2
1308,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
7168,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Radio,Poor Reception,Radio / Poor Reception,source_2
986,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
9091,Hands-Free Communication-Doesn't Recognize Command,Cell Phone Connection - Voice recognition trouble,Cell Phone Connection,Voice recognition trouble,Bluetooth,Not Functioning,Bluetooth / Not Functioning,source_2
13228,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,XM Radio,Customer Expectation,XM Radio / Customer Expectation,source_2
18400,DVD Player/Rear Seat Ent-Other/Unspecified,DVD Player/Rear Seat Ent - other,DVD Player/Rear Seat Ent,other,Rear Seat Entertainment,Not Enough Info,Rear Seat Entertainment / Not Enough Info,source_2
10108,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Apple Car Play,Stability,Apple Car Play / Stability,source_2
4446,Rear Audio/Ent System-Controls DTU/Poor Location,DVD Player/TV/Rear Seat Ent - DTU/understand,DVD Player/TV/Rear Seat Ent,DTU/understand,Rear Seat Entertainment,DTU,Rear Seat Entertainment / DTU,source_2
7902,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Black Screen,Display / Black Screen,source_2
14654,Infotainment System-Poor Screen Quality,Media Player - Screen illumination,Media Player,Screen illumination,Display,Illumination Too Bright,Display / Illumination Too Bright,source_2
9694,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
8250,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
6633,RRR-Phone,RRR - Voice recognition problems,RRR,Voice recognition problems,RRR,Voice Recognition,RRR / Voice Recognition,source_2
15712,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Dual Environment,Apple Car Play / Dual Environment,source_2
7334,Media Player - Broken/NW/slow/freezes,Media Player - Device compatibility/does not work,Media Player,Device compatibility/does not work,USB/Aux In,Device Not Recognized,USB/Aux In / Device Not Recognized,source_2
19666,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Radio Interaction,No Wifi,Radio Interaction / No Wifi,source_2
12737,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
18003,Navigation System-Other/Unspecified,Navigation System - other,Navigation System,other,Navigation,No Integrated Nav,Navigation / No Integrated Nav,source_2
1258,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - other,Cell Phone Connection,other,Bluetooth,Won't/Slow Connect,Bluetooth / Won't/Slow Connect,source_2
3770,Media Player - Broken/NW/slow/freezes,Media Player - Slow system response/freezes,Media Player,Slow system response/freezes,Android Auto,Slow,Android Auto / Slow,source_2
8140,Media Player - Broken/NW/slow/freezes,Media Player - Slow system response/freezes,Media Player,Slow system response/freezes,Apple Car Play,Compatibility,Apple Car Play / Compatibility,source_2
1368,DVD Player/Rear Seat Ent-Other/Unspecified,DVD Player/Rear Seat Ent - unspecified,DVD Player/Rear Seat Ent,unspecified,Rear Seat Entertainment,Not Enough Info,Rear Seat Entertainment / Not Enough Info,source_2
19229,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Android Auto,DTU,Android Auto / DTU,source_2
16033,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
9947,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Apple Car Play,DTU,Apple Car Play / DTU,source_2
16566,Front Audio/Ent System-Controls DTU/Poor Location,Media Player - DTU/understand,Media Player,DTU/understand,USB/Aux In,Device Not Recognized,USB/Aux In / Device Not Recognized,source_2
17531,Navigation System-Other/Unspecified,Navigation System - other,Navigation System,other,Navigation,Other,Navigation / Other,source_2
19086,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
18356,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
2487,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - unspecified,Cell Phone Connection,unspecified,Stability,Software Hang-up/System Freezing,Stability / Software Hang-up/System Freezing,source_2
6458,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
5359,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
12292,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
5559,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
19285,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Display,Not Enough Info,Display / Not Enough Info,source_2
337,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Apple Car Play,Stability,Apple Car Play / Stability,source_2
17028,Cigarette Lighter/Power Plug-Other/Unspecified,12 Volt Power Outlets - unspecified,12 Volt Power Outlets,unspecified,Power Outlet,Not Enough,Power Outlet / Not Enough,source_2
14006,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Broken/NW,Display Touchscreen,Broken/NW,Radio,Favorites,Radio / Favorites,source_2
2208,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
17579,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Android Auto,DTU,Android Auto / DTU,source_2
10465,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Android Auto,Slow,Android Auto / Slow,source_2
18870,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
11668,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Display,DTU,Display / DTU,source_2
4716,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Won't connect/loses connection,Android Auto/Apple CarPlay,Won't connect/loses connection,Apple Car Play,Stability,Apple Car Play / Stability,source_2
12225,DVD Player/Rear Seat Ent-Other/Unspecified,DVD Player/Rear Seat Ent - unspecified,DVD Player/Rear Seat Ent,unspecified,Rear Seat Entertainment,Not Enough Info,Rear Seat Entertainment / Not Enough Info,source_2
18201,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,Reset,Radio / Reset,source_2
11607,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
8335,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Wi-Fi,No Hotspot,Wi-Fi / No Hotspot,source_2
11381,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
10175,Hands-Free Communication-Doesn't Recognize Command,Cell Phone Connection - Voice recognition trouble,Cell Phone Connection,Voice recognition trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
18103,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
3283,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
17819,Infotainment System-Poor Screen Quality,Cell Phone Connection - Screen illumination,Cell Phone Connection,Screen illumination,Display,Illumination Too Dark,Display / Illumination Too Dark,source_2
8127,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
4650,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Other,Bluetooth / Other,source_2
10207,RRR-Phone,RRR - Voice recognition problems,RRR,Voice recognition problems,RRR,Duplicate,RRR / Duplicate,source_2
6737,Hands-Free Communication-Doesn't Recognize Command,Navigation System - Voice recognition/communication trouble,Navigation System,Voice recognition/communication trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
10570,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - In-vehicle sound quality,Cell Phone Connection,In-vehicle sound quality,Bluetooth,Call Quality,Bluetooth / Call Quality,source_2
15536,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Pairing issues,Cell Phone Connection,Pairing issues,Bluetooth,Won't/Slow Connect,Bluetooth / Won't/Slow Connect,source_2
48,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Slow Response,Display / Touchscreen Slow Response,source_2
358,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
16009,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
16636,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
18907,Infotainment System-Poor Screen Quality,Navigation System - Screen visibility/illumination,Navigation System,Screen visibility/illumination,Display,Illumination Too Bright,Display / Illumination Too Bright,source_2
5418,Infotainment System-Poor Screen Quality,Navigation System - Screen visibility/illumination,Navigation System,Screen visibility/illumination,Display,Illumination Too Dark,Display / Illumination Too Dark,source_2
17538,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
19583,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Navigation,Customer Expectation,Navigation / Customer Expectation,source_2
7574,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
2171,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
1164,Infotainment System-Poor Screen Quality,Media Player - Screen illumination,Media Player,Screen illumination,Display,Black Screen,Display / Black Screen,source_2
14431,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Bluetooth,Customer Education,Bluetooth / Customer Education,source_2
4938,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
13671,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Stability,Software Hang-up/System Freezing,Stability / Software Hang-up/System Freezing,source_2
7057,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
6828,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
12701,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
6377,Cigarette Lighter/Power Plug-DTU/Poor Location,12 Volt Power Outlets - In poor location,12 Volt Power Outlets,In poor location,Power Outlet,Poor Location,Power Outlet / Poor Location,source_2
13318,Audio Sound/Speakers-Sound Quality,Audio Sound/Speakers - Sound lacks clarity,Audio Sound/Speakers,Sound lacks clarity,Audio,Bad sound Quality,Audio / Bad sound Quality,source_2
5151,Navigation System- DTU,Navigation System - DTU/understand,Navigation System,DTU/understand,Navigation,DTU,Navigation / DTU,source_2
11469,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
14555,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - Sound quality for person on other end,Cell Phone Connection,Sound quality for person on other end,Bluetooth,Outbound Call,Bluetooth / Outbound Call,source_2
10931,Front Audio/Ent System-Controls DTU/Poor Location,Radio Fnctn and Recptn - DTU/understand,Radio Fnctn and Recptn,DTU/understand,Radio,DTU,Radio / DTU,source_2
17268,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Apple Car Play,Customer Education,Apple Car Play / Customer Education,source_2
18146,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
16690,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Display,DTU,Display / DTU,source_2
2293,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Loses connection,Media Player,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
18033,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Device compatibility/does not work,Cell Phone Connection,Device compatibility/does not work,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
11833,Hands-Free Communication-Doesn't Recognize Command,Cell Phone Connection - Voice recognition trouble,Cell Phone Connection,Voice recognition trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
1544,Wireless Hotspot Broken/NW/Connection,Wireless Hotspot - Won't connect/loses connection,Wireless Hotspot,Won't connect/loses connection,Wi-Fi,Slow,Wi-Fi / Slow,source_2
17793,Display Touchscreen-DTU/Understand,Display Touchscreen - DTU/understand,Display Touchscreen,DTU/understand,Radio,Customer Expectation,Radio / Customer Expectation,source_2
2499,Navigation System-Inaccurate,Navigation System - Inaccurate map information,Navigation System,Inaccurate map information,Navigation,Route Accuracy,Navigation / Route Accuracy,source_2
1786,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
18512,Wireless Hotspot DTU,Wireless Hotspot - DTU/understand,Wireless Hotspot,DTU/understand,Wi-Fi,DTU,Wi-Fi / DTU,source_2
18655,Cell Phone - Vehicle Sound Quality,Cell Phone Connection - In-vehicle sound quality,Cell Phone Connection,In-vehicle sound quality,Bluetooth,Not Enough Info,Bluetooth / Not Enough Info,source_2
13494,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
3233,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
4778,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
14757,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
16089,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Media Player - Pairing issues,Media Player,Pairing issues,Bluetooth,Won't/Slow Pair,Bluetooth / Won't/Slow Pair,source_2
15841,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
10671,Media Player - Broken/NW/slow/freezes,Media Player - Device compatibility/does not work,Media Player,Device compatibility/does not work,USB/Aux In,Device Not Recognized,USB/Aux In / Device Not Recognized,source_2
19400,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Apple Car Play,Customer Expectation,Apple Car Play / Customer Expectation,source_2
7603,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Apple Car Play,Customer Expectation,Apple Car Play / Customer Expectation,source_2
8164,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Touchscreen Unresponsive,Display / Touchscreen Unresponsive,source_2
15378,Radio Poor/No Reception,Radio Fnctn and Recptn - Static/poor reception - AM/FM/Satellite/HD,Radio Fnctn and Recptn,Static/poor reception - AM/FM/Satellite/HD,Radio,Poor Reception,Radio / Poor Reception,source_2
19165,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
9840,Display Touchscreen-Broken/NW/Slow,Display Touchscreen - Slow system response/freezes,Display Touchscreen,Slow system response/freezes,Display,Black Screen,Display / Black Screen,source_2
10615,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
2325,Android Auto/Apple CarPlay Broken/NW/Slow,Android Auto/Apple CarPlay - Slow system,Android Auto/Apple CarPlay,Slow system,Android Auto,Slow,Android Auto / Slow,source_2
18371,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
8001,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Slow system response/freezes,Cell Phone Connection,Slow system response/freezes,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
18037,Aux Jack/Line In/USB/Cable Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/AUX Connection Issues,USB/Aux In,USB Not Functioning,USB/Aux In / USB Not Functioning,source_2
12240,Radio Poor/No Reception,Radio Fnctn and Recptn - Does not work,Radio Fnctn and Recptn,Does not work,Stability,Reboot,Stability / Reboot,source_2
14662,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Radio,Other,Radio / Other,source_2
19655,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Pairing issues,Cell Phone Connection,Pairing issues,Android Auto,DTU,Android Auto / DTU,source_2
16866,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
16667,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - Loses connection,Cell Phone Connection,Loses connection,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
8963,Radio Function and Reception-Other/Unspecified,Radio Fnctn and Recptn - other,Radio Fnctn and Recptn,other,Radio,Poor Reception,Radio / Poor Reception,source_2
19615,Rear Seat DVD Player-Playback Problem,DVD Player/TV/Rear Seat Ent - Player - does not work,DVD Player/TV/Rear Seat Ent,Player - does not work,Rear Seat Entertainment,Not Functioning,Rear Seat Entertainment / Not Functioning,source_2
15479,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,XM Radio,Poor Reception,XM Radio / Poor Reception,source_2
7635,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Apple Car Play,Stability,Apple Car Play / Stability,source_2
17219,Hands-Free Communication-Won't Connect/Slow/Loses Connect,Cell Phone Connection - other,Cell Phone Connection,other,Bluetooth,Connection Loss,Bluetooth / Connection Loss,source_2
2221,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Apple Car Play,DTU,Apple Car Play / DTU,source_2
7164,Infotainment System-Poor Screen Quality,Radio Fnctn and Recptn - Display screen image poor quality,Radio Fnctn and Recptn,Display screen image poor quality,Display,Screen Quality,Display / Screen Quality,source_2
6736,Hands-Free Communication-Doesn't Recognize Command,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition/Communication Trouble,Voice Recognition,Poor Recognition,Voice Recognition / Poor Recognition,source_2
13509,Front Audio/Ent System-Controls DTU/Poor Location,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Audio/Entertainment System DTU,Radio,DTU,Radio / DTU,source_2
13300,Navigation System- DTU,Navigation System - DTU/understand,Navigation System,DTU/understand,Navigation,DTU,Navigation / DTU,source_2
1927,Android Auto/Apple CarPlay DTU,Android Auto/Apple CarPlay - DTU/understand,Android Auto/Apple CarPlay,DTU/understand,Android Auto,DTU,Android Auto / DTU,source_2
